Unable to load module hid, required to interface with SpaceMouse.

           Only macOS is officially supported. Install the additional

           requirements with `pip install -r requirements-extra.txt`
v: 0.004824552283303056, marker: Flat_top_site_1, dist: -0.00026921687435161744, 
v: 0.045248133308098196, marker: Flat_top_site_2, dist: -7.026314021582161e-05, 
v: 0.09524447926783224, marker: Flat_top_site_3, dist: 0.00012869059391997412, 
v: 0.1452433409631355, marker: Flat_top_site_4, dist: 0.0003276443280557699, 
v: 0.19524278567277903, marker: Flat_top_site_5, dist: 0.0005265980621915656, 
v: 0.24524245680632017, marker: Flat_top_site_6, dist: 0.0007255517963273613, 
v: 0.2952422393282047, marker: Flat_top_site_7, dist: 0.0009245055304631572, 
v: 0.34524208484289115, marker: Flat_top_site_8, dist: 0.0011234592645989533, 
v: 0.004730463085233654, marker: Flat_top_site_1, dist: -9.718556246945178e-05, 
v: 0.04533334276581958, marker: Flat_top_site_2, dist: 0.00010181315264578978, 
v: 0.09533019800486, marker: Flat_top_site_3, dist: 0.0003008118677610312, 
v: 0.14532921707959603, marker: Flat_top_site_4, dist: 0.0004998105828762728, 
v: 0.19532873834203424, marker: Flat_top_site_5, dist: 0.0006988092979915142, 
v: 0.24532845474508944, marker: Flat_top_site_6, dist: 0.0008978080131067556, 
v: 0.2953282671755887, marker: Flat_top_site_7, dist: 0.001096806728221997, 
v: 0.3453281339223007, marker: Flat_top_site_8, dist: 0.0012958054433372386, 
v: 0.005363640735511785, marker: Flat_top_site_1, dist: -0.00021122036580264585, 
v: 0.04468083434739761, marker: Flat_top_site_2, dist: -5.104546935266865e-05, 
v: 0.09467832525990058, marker: Flat_top_site_3, dist: 0.00010912942709730849, 
v: 0.14467755040108837, marker: Flat_top_site_4, dist: 0.0002693043235472856, 
v: 0.19467717356202657, marker: Flat_top_site_5, dist: 0.0004294792199972629, 
v: 0.24467695073737405, marker: Flat_top_site_6, dist: 0.0005896541164472401, 
v: 0.2946768035291874, marker: Flat_top_site_7, dist: 0.0007498290128972172, 
v: 0.344676699030003, marker: Flat_top_site_8, dist: 0.0009100039093471944, 
v: 0.006860168727135343, marker: Flat_top_site_1, dist: -0.00021992354417764263, 
v: 0.043170958907449326, marker: Flat_top_site_2, dist: -0.00012058204631989538, 
v: 0.09316867215439205, marker: Flat_top_site_3, dist: -2.1240548462148155e-05, 
v: 0.14316798262543373, marker: Flat_top_site_4, dist: 7.8100949395599e-05, 
v: 0.19316765005316086, marker: Flat_top_site_5, dist: 0.0001774424472533463, 
v: 0.2431674542472416, marker: Flat_top_site_6, dist: 0.0002767839451110935, 
v: 0.2931673252310159, marker: Flat_top_site_7, dist: 0.0003761254429688408, 
v: 0.3431672338104734, marker: Flat_top_site_8, dist: 0.000475466940826588, 
v: 0.00861158370010853, marker: Flat_top_site_1, dist: -0.00013658168610934286, 
v: 0.041410070198108974, marker: Flat_top_site_2, dist: -8.192361002458423e-05, 
v: 0.09140803276408835, marker: Flat_top_site_3, dist: -2.7265533939825653e-05, 
v: 0.1414074361332847, marker: Flat_top_site_4, dist: 2.7392542144932976e-05, 
v: 0.19140715120856203, marker: Flat_top_site_5, dist: 8.205061822969155e-05, 
v: 0.2414069843102425, marker: Flat_top_site_6, dist: 0.00013670869431445012, 
v: 0.2914068746851282, marker: Flat_top_site_7, dist: 0.00019136677039920875, 
v: 0.34140679716980205, marker: Flat_top_site_8, dist: 0.0002460248464839673, 
v: 0.010350883547332209, marker: Flat_top_site_1, dist: -8.506991547755746e-05, 
v: 0.03966378716145398, marker: Flat_top_site_2, dist: -5.553720090244535e-05, 
v: 0.08966209474336302, marker: Flat_top_site_3, dist: -2.6004486327333253e-05, 
v: 0.13966161410905467, marker: Flat_top_site_4, dist: 3.5282282477788697e-06, 
v: 0.1896613868907564, marker: Flat_top_site_5, dist: 3.3060942822890965e-05, 
v: 0.23966125448036832, marker: Flat_top_site_6, dist: 6.259365739800305e-05, 
v: 0.2896611677820874, marker: Flat_top_site_7, dist: 9.212637197311516e-05, 
v: 0.3396611066087215, marker: Flat_top_site_8, dist: 0.00012165908654822729, 
v: 0.012040785974504298, marker: Flat_top_site_1, dist: -6.408032768805964e-05, 
v: 0.037968605634970086, marker: Flat_top_site_2, dist: -5.0860969657582904e-05, 
v: 0.087967320641497, marker: Flat_top_site_3, dist: -3.764161162710618e-05, 
v: 0.13796696701683347, marker: Flat_top_site_4, dist: -2.4422253596629445e-05, 
v: 0.18796680152304573, marker: Flat_top_site_5, dist: -1.1202895566152723e-05, 
v: 0.23796670557408683, marker: Flat_top_site_6, dist: 2.0164624643240065e-06, 
v: 0.2879666429445678, marker: Flat_top_site_7, dist: 1.5235820494800742e-05, 
v: 0.33796659884631236, marker: Flat_top_site_8, dist: 2.845517852527745e-05, 
v: 0.013674266104170182, marker: Flat_top_site_1, dist: -5.281644807593587e-05, 
v: 0.036331157735058475, marker: Flat_top_site_2, dist: -5.0627990971481e-05, 
v: 0.08633029880205292, marker: Flat_top_site_3, dist: -4.8439533867026136e-05, 
v: 0.13633006990438234, marker: Flat_top_site_4, dist: -4.625107676257127e-05, 
v: 0.18632996385180733, marker: Flat_top_site_5, dist: -4.40626196581164e-05, 
v: 0.23632990267399062, marker: Flat_top_site_6, dist: -4.187416255366153e-05, 
v: 0.28632986286236356, marker: Flat_top_site_7, dist: -3.968570544920666e-05, 
v: 0.3363298348878106, marker: Flat_top_site_8, dist: -3.74972483447518e-05, 
v: 0.015254871790244297, marker: Flat_top_site_1, dist: -4.1190348247414586e-05, 
v: 0.034747801026382676, marker: Flat_top_site_2, dist: -4.7782479940891816e-05, 
v: 0.0847473199517328, marker: Flat_top_site_3, dist: -5.437461163436904e-05, 
v: 0.13474719589599501, marker: Flat_top_site_4, dist: -6.0966743327846255e-05, 
v: 0.18474713898912196, marker: Flat_top_site_5, dist: -6.755887502132348e-05, 
v: 0.2347471063240147, marker: Flat_top_site_6, dist: -7.415100671480071e-05, 
v: 0.2847470851305251, marker: Flat_top_site_7, dist: -8.074313840827793e-05, 
v: 0.33474707026822925, marker: Flat_top_site_8, dist: -8.733527010175516e-05, 
v: 0.016761555402735193, marker: Flat_top_site_1, dist: -3.5595866126639363e-05, 
v: 0.033239392386539876, marker: Flat_top_site_2, dist: -4.852543194330411e-05, 
v: 0.08323920153950162, marker: Flat_top_site_3, dist: -6.145499775996884e-05, 
v: 0.13323915392872007, marker: Flat_top_site_4, dist: -7.438456357663359e-05, 
v: 0.18323913230079586, marker: Flat_top_site_5, dist: -8.731412939329833e-05, 
v: 0.23323911994572433, marker: Flat_top_site_6, dist: -0.00010024369520996308, 
v: 0.28323911195271634, marker: Flat_top_site_7, dist: -0.00011317326102662783, 
v: 0.33323910635828863, marker: Flat_top_site_8, dist: -0.00012610282684329257, 
v: 0.018216759268350816, marker: Flat_top_site_1, dist: -2.1898197001667745e-05, 
v: 0.031783375807625934, marker: Flat_top_site_2, dist: -4.1283899631971895e-05, 
v: 0.08178334572036361, marker: Flat_top_site_3, dist: -6.066960226227603e-05, 
v: 0.13178333846395093, marker: Flat_top_site_4, dist: -8.005530489258016e-05, 
v: 0.18178333519933004, marker: Flat_top_site_5, dist: -9.94410075228843e-05, 
v: 0.2317833333431887, marker: Flat_top_site_6, dist: -0.00011882671015318844, 
v: 0.28178333214575957, marker: Flat_top_site_7, dist: -0.00013821241278349258, 
v: 0.3317833313092374, marker: Flat_top_site_8, dist: -0.00015759811541379672, 
v: 0.019594275309994316, marker: Flat_top_site_1, dist: -1.3836749345132028e-05, 
v: 0.030405832674779514, marker: Flat_top_site_2, dist: -3.8204329598787684e-05, 
v: 0.0804058063597992, marker: Flat_top_site_3, dist: -6.257190985244333e-05, 
v: 0.13040580022411719, marker: Flat_top_site_4, dist: -8.693949010609898e-05, 
v: 0.1804057974894798, marker: Flat_top_site_5, dist: -0.00011130707035975463, 
v: 0.23040579594172111, marker: Flat_top_site_6, dist: -0.00013567465061341028, 
v: 0.28040579494593343, marker: Flat_top_site_7, dist: -0.00016004223086706594, 
v: 0.330405794251529, marker: Flat_top_site_8, dist: -0.0001844098111207216, 
v: 0.020898183175698307, marker: Flat_top_site_1, dist: -9.96590628070127e-06, 
v: 0.029102611039044584, marker: Flat_top_site_2, dist: -3.8564328784252135e-05, 
v: 0.07910240121851421, marker: Flat_top_site_3, dist: -6.716275128780298e-05, 
v: 0.12910235392036692, marker: Flat_top_site_4, dist: -9.576117379135386e-05, 
v: 0.17910233303065753, marker: Flat_top_site_5, dist: -0.00012435959629490472, 
v: 0.22910232125901614, marker: Flat_top_site_6, dist: -0.00015295801879845557, 
v: 0.2791023137050539, marker: Flat_top_site_7, dist: -0.00018155644130200642, 
v: 0.3291023084464149, marker: Flat_top_site_8, dist: -0.0002101548638055573, 
v: 0.022135663457161284, marker: Flat_top_site_1, dist: -6.86402321401732e-06, 
v: 0.027866458331210108, marker: Flat_top_site_2, dist: -3.9456493141267963e-05, 
v: 0.07786585518159697, marker: Flat_top_site_3, dist: -7.204896306851858e-05, 
v: 0.12786572373547886, marker: Flat_top_site_4, dist: -0.00010464143299576923, 
v: 0.1778656661911853, marker: Flat_top_site_5, dist: -0.00013723390292301986, 
v: 0.22786563390048645, marker: Flat_top_site_6, dist: -0.0001698263728502705, 
v: 0.2778656132307611, marker: Flat_top_site_7, dist: -0.00020241884277752116, 
v: 0.32786559886536315, marker: Flat_top_site_8, dist: -0.00023501131270477175, 
v: 0.023303160080761758, marker: Flat_top_site_1, dist: -7.758975482079572e-06, 
v: 0.026700904888431527, marker: Flat_top_site_2, dist: -4.386906318801561e-05, 
v: 0.07669966997303525, marker: Flat_top_site_3, dist: -7.997915089395162e-05, 
v: 0.12669940973060603, marker: Flat_top_site_4, dist: -0.00011608923859988767, 
v: 0.1766992967676879, marker: Flat_top_site_5, dist: -0.0001521993263058237, 
v: 0.2266992336341411, marker: Flat_top_site_6, dist: -0.00018830941401175972, 
v: 0.2766991933172526, marker: Flat_top_site_7, dist: -0.00022441950171769574, 
v: 0.3266991653410364, marker: Flat_top_site_8, dist: -0.00026052958942363177, 
v: 0.024413701850328953, marker: Flat_top_site_1, dist: -6.01991497231585e-06, 
v: 0.02559279300029333, marker: Flat_top_site_2, dist: -4.584991148874273e-05, 
v: 0.07559069565148194, marker: Flat_top_site_3, dist: -8.567990800516958e-05, 
v: 0.12559026827184533, marker: Flat_top_site_4, dist: -0.00012550990452159648, 
v: 0.17559008428756218, marker: Flat_top_site_5, dist: -0.00016533990103802332, 
v: 0.22558998186008236, marker: Flat_top_site_6, dist: -0.0002051698975544502, 
v: 0.2755899165991953, marker: Flat_top_site_7, dist: -0.0002449998940708771, 
v: 0.3255898713821892, marker: Flat_top_site_8, dist: -0.0002848298905873039, 
v: 0.025459839536664454, marker: Flat_top_site_1, dist: -7.407207569370114e-06, 
v: 0.024549580757625568, marker: Flat_top_site_2, dist: -5.059035021024151e-05, 
v: 0.07454636410662599, marker: Flat_top_site_3, dist: -9.377349285111288e-05, 
v: 0.1245457301060945, marker: Flat_top_site_4, dist: -0.00013695663549198427, 
v: 0.17454545933309928, marker: Flat_top_site_5, dist: -0.00018013977813285565, 
v: 0.22454530914705184, marker: Flat_top_site_6, dist: -0.00022332292077372704, 
v: 0.2745452136645029, marker: Flat_top_site_7, dist: -0.0002665060634145984, 
v: 0.3245451476023483, marker: Flat_top_site_8, dist: -0.0003096892060554698, 
v: 0.026449198840892394, marker: Flat_top_site_1, dist: -8.817037460454329e-06, 
v: 0.02356355323871351, marker: Flat_top_site_2, dist: -5.534715495257463e-05, 
v: 0.07355896929091861, marker: Flat_top_site_3, dist: -0.00010187727244469492, 
v: 0.12355809518218921, marker: Flat_top_site_4, dist: -0.0001484073899368152, 
v: 0.17355772471128894, marker: Flat_top_site_5, dist: -0.00019493750742893552, 
v: 0.2235575199559795, marker: Flat_top_site_6, dist: -0.0002414676249210558, 
v: 0.2735573900496508, marker: Flat_top_site_7, dist: -0.00028799774241317603, 
v: 0.3235573002926768, marker: Flat_top_site_8, dist: -0.0003345278599052964, 
v: 0.02738244286639626, marker: Flat_top_site_1, dist: -1.1378179399475512e-05, 
v: 0.022634032745549273, marker: Flat_top_site_2, dist: -6.112583700269145e-05, 
v: 0.07262782317625759, marker: Flat_top_site_3, dist: -0.00011087349460590736, 
v: 0.12262667719675388, marker: Flat_top_site_4, dist: -0.00016062115220912327, 
v: 0.17262619506121318, marker: Flat_top_site_5, dist: -0.0002103688098123392, 
v: 0.22262592949229246, marker: Flat_top_site_6, dist: -0.00026011646741555517, 
v: 0.2726257613346587, marker: Flat_top_site_7, dist: -0.000309864125018771, 
v: 0.32262564529853704, marker: Flat_top_site_8, dist: -0.00035961178262198693, 
v: 0.028267421722810927, marker: Flat_top_site_1, dist: -1.199382547040434e-05, 
v: 0.02175306384810225, marker: Flat_top_site_2, dist: -6.515728055676827e-05, 
v: 0.07174499594190513, marker: Flat_top_site_3, dist: -0.00011832073564313218, 
v: 0.12174355464922301, marker: Flat_top_site_4, dist: -0.0001714841907294961, 
v: 0.17174295256153227, marker: Flat_top_site_5, dist: -0.00022464764581586, 
v: 0.2217426219978403, marker: Flat_top_site_6, dist: -0.0002778111009022239, 
v: 0.27174241307974256, marker: Flat_top_site_7, dist: -0.0003309745559885878, 
v: 0.3217422690948857, marker: Flat_top_site_8, dist: -0.00038413801107495173, 
v: 0.02910384840761203, marker: Flat_top_site_1, dist: -1.2473312755561677e-05, 
v: 0.020920939290972707, marker: Flat_top_site_2, dist: -6.907402718371658e-05, 
v: 0.070910770758044, marker: Flat_top_site_3, dist: -0.00012567474161187146, 
